Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelvärde GAP,Normalized Power® (NP®),Training Stress Score®,Med. kraft,Maxkraft,Totalt antal årtag,Medel-Swolf,Medelårtagstempo,Steg,Urladdning av Body Battery,Dekompression,Bästa varvtid,Antal varv,Genomsnittlig andning,Minsta andningshastighet,Maximal andningshastighet,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2026-01-25 18:43:35,false,"Mölndal Löpning","12.29","809","01:05:15","146","182","3.2","152","180","5:18","3:18","219","163","1.24","8.6","10.5","281","5:05","354","0.0","327","612","--","--","--","9,960","-9","Nej","01:05:15","1","--","--","--","01:03:25","01:05:15","-33","60"
Löpning,2026-01-24 18:10:22,false,"Mölndal Löpning","15.77","1,137","01:41:09","136","159","3.2","149","240","6:25","4:16","478","427","1.04","9.3","9.4","296","5:52","312","0.0","272","646","--","--","--","15,504","-18","Nej","01:41:09","1","--","--","--","01:39:20","01:41:11","-40","102"
Längdskidåkning klassisk stil,2026-01-22 06:49:23,false,"Trysil Längdskidåkning klassisk stil","13.28","710","00:54:58","155","205","3.5","--","--","14.5","36.2","264","252","--","--","--","--","--","--","0.0","--","--","--","--","--","4,332","-10","Nej","00:01:12.4","14","--","--","--","00:53:45","00:54:58","427","582"
Löpning,2026-01-21 19:52:07,false,"Trysil Löpning","2.57","184","00:15:37","136","152","2.0","161","169","6:05","4:55","83","33","1.02","9.3","9.4","289","5:36","320","0.0","304","493","--","--","--","2,504","--","Nej","00:15:37","1","--","--","--","00:15:37","00:15:37","408","472"
Längdskidåkning klassisk stil,2026-01-21 09:09:11,false,"Trysil Längdskidåkning klassisk stil","50.07","2,710","04:53:49","140","171","4.3","--","--","10.2","45.0","1,111","1,112","--","--","--","--","--","--","0.0","--","--","--","--","--","16,972","-35","Nej","00:01:00.5","51","--","--","--","04:23:35","04:53:49","422","1,030"
Längdskidåkning klassisk stil,2026-01-20 10:44:11,false,"Trysil Längdskidåkning klassisk stil","28.10","1,118","03:01:08","111","207","2.2","--","--","9.3","43.6","492","798","--","--","--","--","--","--","0.0","--","--","--","--","--","10,608","-11","Nej","00:00:27.8","29","--","--","--","02:21:17","03:01:08","434","935"
Löpning,2026-01-20 09:22:44,false,"Trysil Löpning","4.47","325","00:24:14","149","180","2.4","157","180","5:25","3:47","236","82","1.18","8.6","9.9","278","4:35","408","0.0","372","640","--","--","--","3,816","-5","Nej","00:24:14","1","--","--","--","00:24:06","00:35:53","290","478"
Längdskidåkning klassisk stil,2026-01-19 14:39:03,false,"Trysil Längdskidåkning klassisk stil","30.09","1,733","02:36:33","150","174","4.4","--","--","11.5","42.1","856","836","--","--","--","--","--","--","0.0","--","--","--","--","--","7,978","-18","Nej","00:00:22.3","32","--","--","--","02:19:00","02:36:33","405","500"
Längdskidåkning klassisk stil,2026-01-19 07:11:05,false,"Trysil Längdskidåkning klassisk stil","15.28","785","01:12:24","145","169","3.1","--","--","12.7","30.7","236","369","--","--","--","--","--","--","0.0","--","--","--","--","--","6,412","-15","Nej","00:01:25.6","16","--","--","--","01:09:09","01:12:24","443","672"
Längdskidåkning klassisk stil,2026-01-18 17:11:41,false,"Trysil Längdskidåkning klassisk stil","15.12","798","01:14:50","143","172","3.1","--","--","12.1","33.8","196","184","--","--","--","--","--","--","0.0","--","--","--","--","--","4,708","--","Nej","00:00:37.4","16","--","--","--","01:09:28","01:14:50","438","587"
