Aktivitetstyp,Datum,Favorit,Namn,Distans,Kalorier,Tid,Medelpuls,Maxpuls,Aerobisk Training Effect,Medellöpkadens,Maximal löpkadens,Medeltempo,Bästa tempo,Total stigning,Totalt nedför,Medelsteglängd,Medelvärde för vertikal kvot,Medelvärde för vertikal rörelse,Medeltid för markkontakt,Medelkontakttidsbalans,Training Stress Score®,Steg,Dekompression,Bästa varvtid,Antal varv,Färdtid,Total tid,Min. höjd,Max. höjd
Löpning,2025-07-17 16:46:29,false,"Borås Löpning","2.00","193","00:15:23","155","168","2.1","165","190","7:43","6:01","16","16","0.78","7.1","5.7","318","48.3% vänster/51.7% höger","0.0","2,524","Nej","00:07:19.4","2","00:15:23","00:15:23","163","179"
Löpning,2025-07-15 20:03:39,false,"Göteborg - halv norska 4/3 * 2","4.00","395","00:26:49","172","200","3.3","168","196","6:42","4:31","58","69","0.88","7.2","6.5","301","48.3% vänster/51.8% höger","0.0","4,444","Nej","00:03:00","6","00:26:41","00:26:49","50","99"
Löpning,2025-07-13 19:32:09,false,"Göteborg Löpning","4.50","423","00:34:02","156","188","2.6","165","188","7:34","5:32","52","95","0.79","6.5","5.3","319","48.7% vänster/51.3% höger","0.0","5,554","Nej","00:04:18.6","5","00:34:00","00:34:02","4","98"
Löpning,2025-07-12 12:36:31,false,"Uppsala Löpning","8.00","814","00:52:46","187","206","4.4","167","175","6:36","5:29","71","75","0.90","7.7","7.1","279","48.8% vänster/51.2% höger","0.0","8,734","Nej","00:00:01.0","9","00:52:44","00:53:30","8","27"
Löpning,2025-07-09 18:11:32,false,"Göteborg Löpning","14.32","1,355","01:51:12","161","184","3.8","164","183","7:46","6:23","166","167","0.78","7.4","5.9","318","48.9% vänster/51.1% höger","0.0","18,108","Nej","00:02:35.9","15","01:51:09","01:51:12","20","100"
Löpning,2025-07-07 22:22:27,false,"Mölndal Löpning","3.00","290","00:24:37","152","176","2.4","163","189","8:12","6:34","66","61","0.72","6.9","5.1","336","48.7% vänster/51.3% höger","0.0","3,974","Nej","00:00:00.7","4","00:24:27","00:24:37","46","89"
Löpning,2025-07-06 11:52:55,false,"Borås - norska","8.00","854","00:55:49","183","212","5.0","165","179","6:59","5:00","45","60","0.86","7.3","6.5","305","48.4% vänster/51.6% höger","0.0","9,118","Nej","00:00:00.5","13","00:55:48","00:55:49","132","167"
Löpning,2025-07-03 19:28:25,false,"Göteborg Löpning","5.00","482","00:37:54","152","173","3.1","163","171","7:35","6:33","77","77","0.81","7.5","6.2","307","48.4% vänster/51.6% höger","0.0","6,150","Nej","00:07:15.6","5","00:37:54","00:37:54","50","99"
Löpning,2025-07-01 18:23:38,false,"Göteborg Löpning","12.00","1,181","01:35:54","164","187","3.8","160","171","7:59","6:28","148","150","0.78","8.3","6.7","315","48.4% vänster/51.6% höger","0.0","15,180","Nej","00:00:00.6","13","01:35:53","01:35:54","19","99"
Löpning,2025-06-29 13:58:32,false,"Borås Löpning","5.00","507","00:32:44","180","202","4.1","165","197","6:33","4:56","123","203","0.91","7.8","7.2","282","49.0% vänster/51.0% höger","0.0","5,364","Nej","00:05:27.0","5","00:32:34","00:32:44","132","244"
