Activity Type;Date;Favorite;Title;Distance;Calories;Time;Avg HR;Max HR;Aerobic TE;Avg Run Cadence;Max Run Cadence;Avg Pace;Best Pace;Total Ascent;Total Descent;Avg Stride Length;Avg Vertical Ratio;Avg Vertical Oscillation;Avg Ground Contact Time;Avg GAP;Avg Run Cadence;Max Run Cadence;Normalized Power® (NP®);L/R Balance;Training Stress Score®;Max Avg Power (20 min);Avg Power;Max Power;Total Strokes;Steps;Body Battery Drain;Decompression;Best Lap Time;Number of Laps;Avg Resp;Min Resp;Max Resp;Moving Time;Elapsed Time;Min Elevation;Max Elevation
Hiking;2025-11-19 18:36;FALSE;Santa Teresa Hiking;2.61;212;00:34:30;105;132;0.7;97;224;13:12;09:18;161;10;0.78;--;--;--;--;--;--;--;--;0.0;--;--;--;--;3,458;-2;No;00:34:30;1;--;--;--;00:33:42;00:45:00;1,403;1,562
Hiking;2025-11-19 14:08;FALSE;Santa Teresa Hiking;6.00;594;01:59:34;101;144;0.8;61;240;19:55;06:08;259;177;0.82;--;--;--;--;--;--;--;--;0.0;--;--;--;--;8,456;-8;No;01:59:34;1;--;--;--;01:19:16;02:54:40;1,306;1,462
Hiking;2025-11-19 08:51;FALSE;Santa Teresa Hiking;5.10;434;01:23:25;100;146;1.0;86;244;16:21;05:10;205;392;0.71;--;--;--;--;--;--;--;--;0.0;--;--;--;--;8,1;-17;No;01:23:25;1;--;--;--;01:10:04;03:30:27;1,336;1,682
Hiking;2025-11-18 17:29;FALSE;Santa Teresa Hiking;0.62;97;00:14:11;109;138;0.6;70;158;22:54;06:40;127;--;0.62;--;--;--;--;--;--;--;--;0.0;--;--;--;--;1,11;-3;No;00:14:11;1;--;--;--;00:11:03;00:43:11;1,338;1,489
Running;2025-11-17 13:04;FALSE;Wanchaq Running;10.02;761;00:56:27;150;171;3.5;152;231;05:38;03:21;116;77;1.16;8.5;9.8;279;05:30;--;--;331;--;0.0;--;323;713;--;8,75;-16;No;00:00:10.0;11;--;--;--;00:55:49;01:06:20;3,322;3,385
Running;2025-11-15 15:50;FALSE;Barranco Running;10.02;713;00:48:33;157;177;4.1;162;177;04:51;03:01;49;45;1.27;7.9;10.1;261;04:48;--;--;380;--;0.0;--;374;650;--;7,896;-9;No;00:00:06.4;11;--;--;--;00:48:23;00:50:53;69;91
Running;2025-11-14 07:23;FALSE;Barranco Running;10.01;718;00:53:51;147;174;3.6;159;184;05:23;03:44;85;74;1.17;8.5;9.8;273;05:15;--;--;341;--;0.0;--;336;525;--;8,634;-14;No;00:00:02.8;11;--;--;--;00:53:39;00:59:04;11;83
Running;2025-11-08 19:01;FALSE;Kungsbacka Running;10.00;731;00:45:24;170;187;4.5;166;183;04:32;03:51;69;66;1.33;7.7;10.2;254;04:31;--;--;408;--;0.0;--;403;581;--;7,494;-8;No;00:00:01.1;11;--;--;--;00:45:23;00:45:24;9;35
Virtual Cycling;2025-11-06 20:25;FALSE;Zwift - 6x2 VO2 Max on The Highline in New York;25.29;547;01:02:32;139;183;3.3;--;--;24.3;69.8;420;--;--;--;--;--;--;78;119;194;--;0.0;191;152;355;--;--;--;No;00:00:30;35;--;--;--;01:02:14;01:02:34;89;185
Virtual Cycling;2025-11-03 20:31;FALSE;Zwift - Tempo with accelerations #1 on Roule Ma Poule in France;24.48;485;00:52:23;138;173;2.9;--;--;28.0;58.2;192;--;--;--;--;--;--;84;112;186;--;0.0;185;161;461;--;--;--;No;00:00:12;23;--;--;--;00:52:15;00:52:25;10;121
